number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
35,2026/4/10,250215.IB,250215,"20,350,618","34,440,000,000.00",1.8825,"3,356",9.189
36,2026/4/9,250215.IB,250215,"20,350,618","38,210,000,000.00",1.88,"3,357",9.1918
37,2026/4/10,250214.IB,250214,"20,280,110","2,050,000,000.00",1.5073,640,1.7534
38,2026/4/9,250214.IB,250214,"20,280,110","4,350,000,000.00",1.5202,641,1.7562
39,2026/4/10,250213.IB,250213,"20,280,103","860,000,000.00",1.52,633,1.7342
40,2026/4/9,250213.IB,250213,"20,280,103","100,000,000.00",1.5075,634,1.737
41,2026/4/10,250211.IB,250211,"20,260,909","1,970,000,000.00",1.381,152,0.4164
42,2026/4/9,250211.IB,250211,"20,260,909","2,800,000,000.00",1.38,153,0.4192
43,2026/4/10,2502101.IB,2502101,"20,270,512",0,1.446,397,1.0877
44,2026/4/9,2502101.IB,2502101,"20,270,512",0,1.4546,398,1.0904
45,2026/4/10,250210.IB,250210,"20,350,402","3,780,000,000.00",1.8652,"3,279",8.9781
46,2026/4/9,250210.IB,250210,"20,350,402","4,810,000,000.00",1.8675,"3,280",8.9808
